Adj,a01-a02,res
Adj,a02-a03,res
Adj,a03-a04,res
Adj,a04-a05,res
Adj,a05-a06,res
Adj,a06-a07,res
Adj,a07-a08,res
Adj,a08-a09,res
Adj,a09-a10,res
Adj,a10-a11,res
Adj,a11-a12,res
Adj,b01-b02,res
Adj,b02-b03,res
Adj,b03-b04,res
Adj,b04-b05,res
Adj,b05-b06,res
Adj,b06-b07,res
Adj,b07-b08,res
Adj,b08-b09,res
Adj,b09-b10,res
Adj,b10-b11,res
Adj,b11-b12,res
Adj,a02-b11,res
Adj,a03-b10,res
Adj,a05-b08,res
Adj,a06-b07,res
Adj,a07-b06,res
Adj,a08-b05,res
Adj,a10-b03,res
Adj,a11-b02,res
